Year,Registered_Voters_Primary,Voter_Turnout_Primary,Registered_Voters_General,Voter_Turnout_General,Percent_Change,Percent_Turnout_Primary,Percent_Turnout_General,yoy_change_primary,yoy_change_general
1959,123298,102274,130711,121999,6.012262972635404,82.95,93.33,,
1960,137619,94149,147123,136812,6.906023150873063,68.41,92.99,11.614949147593645,12.555944029194176
1962,157022,123321,164324,147728,4.650303779088281,78.54,89.9,14.099070622515786,11.691577795450069
1964,170857,111946,180179,161913,5.456024628783134,65.52,89.86,8.810867267007172,9.648621017015158
1966,187485,129677,193107,166187,2.9986398911912953,69.17,86.06,9.732115160631416,7.175086996819835
1968,204679,124694,211853,183166,3.5050005129984028,60.92,86.46,9.170867002693539,9.707571450025121
1970,219379,152557,226633,189812,3.3066063752683714,69.54,83.75,7.181977633269665,6.976535616677593
1972,253752,151735,263597,220594,3.8797723761783156,59.8,83.69,15.668318298469774,16.310069583864674
1974,256097,178729,263849,205903,3.026978059094796,69.79,78.04,0.9241306472461241,0.09560048103733898
1976,268110,189267,275479,234152,2.7484987505128493,70.59,85.0,4.690800751277835,4.4078241721590805
1978,295581,219379,301758,219584,2.0897824961685627,74.22,72.77,10.246167617768819,9.539384127283746
1980,284013,196283,297533,234469,4.760345477143653,69.11,78.8,-3.9136480355638548,-1.4001285798553753
1982,284253,197904,300171,239970,5.599940897721396,69.62,79.94,0.08450317415047426,0.8866243408294228
1984,292201,153275,308426,258811,5.55268462462483,52.46,83.91,2.7961006568092417,2.750099110173876
1986,292653,208640,308808,253470,5.520189439370175,71.29,82.08,0.1546880400820072,0.12385466854285543
1988,308140,201358,325614,270223,5.670798987473226,65.35,82.99,5.2919327667920735,5.44221652288801
1990,314832,188640,326452,252621,3.690857346140164,59.92,77.38,2.1717401181281293,0.2573599415258476
1992,304539,172039,328463,272081,7.855808287280118,56.49,82.83,-3.2693627077298393,0.616017056106255
1994,335173,225406,349457,269121,4.261679789243167,67.25,77.01,10.059138566817394,6.391587484739536
1996,377287,199201,386546,261781,2.454099929231593,52.8,67.72,12.56485456764118,10.613322955327842
1998,411071,201583,423875,291114,3.114790389008225,49.04,68.68,8.954456421769109,9.657065394545539
2000,439934,189432,444945,257840,1.139034491537367,43.06,57.95,7.021414792091885,4.970805072250073
2002,464673,192146,470327,270071,1.2167696423076013,41.35,57.42,5.623343501525224,5.7045252784051925
2004,430285,184860,445253,300265,3.4786246325110097,42.96,67.44,-7.400473020812481,-5.331184473781003
2006,447727,192322,452168,239753,0.9918990813598465,42.96,53.02,4.05359238644154,1.5530496144888328
2008,450522,167047,466499,308443,3.54633070083148,37.08,66.12,0.6242643396534131,3.1693972151943584
2010,460244,207461,464387,266266,0.9001746899470716,45.08,57.34,2.157941232614613,-0.4527340894621479
2012,461896,206105,474554,298815,2.7404437362523164,44.62,62.97,0.3589400405002552,2.1893377721598606
2014,466553,202728,472556,249436,1.2866705390384372,43.45,52.78,1.008235620139608,-0.4210269010481382
2016,483076,169531,498590,291446,3.2115029519164686,35.09,58.45,3.541505466688677,5.509188329002268
2018,490408,189421,500163,262700,1.9891600463287713,38.63,52.52,1.5177736008412657,0.3154896809001384
2020,525153,275744,549935,385442,4.719005699291444,52.51,70.09,7.084917048661521,9.951155923169042
2022,562630,228522,566873,277194,0.7541368217123153,40.62,48.9,7.136396440656334,3.080000363679347
